max IN degrees,avg IN degrees,avg OUT degrees,avg clustering coeff
93,75.5,75.5,0.3791827629256008
93,75.49,75.49,0.379186554889369
93,75.52,75.52,0.37935601780596895
93,75.575,75.575,0.3795937853508465
93,75.53,75.53,0.37939312584889
93,75.555,75.555,0.37956873122298973
93,75.605,75.605,0.37991235937464735
93,75.61,75.61,0.37996354219820583
93,75.565,75.565,0.3796908751128475
92,75.515,75.515,0.37942754987831095
92,75.545,75.545,0.3796083216688907
92,75.51,75.51,0.3794936035659714
92,75.55,75.55,0.37971806034770245
92,75.56,75.56,0.3797513774941785
92,75.555,75.555,0.3797670994021553
92,75.58,75.58,0.3799865438392916
93,75.61,75.61,0.3801492610114597
93,75.695,75.695,0.3805529989867514
94,75.635,75.635,0.3802464094255366
94,75.62,75.62,0.3801282833317328
94,75.645,75.645,0.38033763509306034
94,75.685,75.685,0.3806584763166032
94,75.63,75.63,0.3804304684000598
93,75.64,75.64,0.3803602056267061
93,75.635,75.635,0.3803023063725302
93,75.71,75.71,0.38073494838997246
93,75.665,75.665,0.3805372231091284
94,75.69,75.69,0.3807555385400493
94,75.685,75.685,0.3805949765558131
94,75.74,75.74,0.38081580628477874
94,75.735,75.735,0.3807658905315099
93,75.65,75.65,0.3802870706127224
92,75.705,75.705,0.38058896149812205
92,75.79,75.79,0.3809931986918662
92,75.775,75.775,0.38084925994162483
92,75.715,75.715,0.38058872583795983
93,75.79,75.79,0.3810159608466423
94,75.83,75.83,0.381225609951015
94,75.77,75.77,0.38089170501584496
95,75.775,75.775,0.3809600621794103
95,75.8,75.8,0.38109189519069164
95,75.795,75.795,0.3809680312174818
95,75.825,75.825,0.38109409845150644
95,75.84,75.84,0.38120523595223416
95,75.915,75.915,0.3816474641246931
96,75.935,75.935,0.38180357090986594
96,75.965,75.965,0.3820825026098296
96,75.985,75.985,0.3822444111712523
96,76.03,76.03,0.38241475968142874
96,76.105,76.105,0.38284236559829954
96,76.16,76.16,0.3831701986703148
96,76.215,76.215,0.38341517823225324
96,76.21,76.21,0.3835014432273482
96,76.17,76.17,0.38333177588440487
96,76.105,76.105,0.38304638751080317
96,76.09,76.09,0.3829295147643636
94,76.165,76.165,0.38330819869789806
93,76.13,76.13,0.3831473097101971
93,76.105,76.105,0.3830662627758668
92,76.14,76.14,0.3831972382175168
92,76.155,76.155,0.38322947657520573
92,76.18,76.18,0.3833648480161693
93,76.23,76.23,0.38376291957038033
93,76.18,76.18,0.38349867685323197
93,76.25,76.25,0.38372698624418
93,76.305,76.305,0.3839981943292887
93,76.365,76.365,0.38434261158618116
93,76.34,76.34,0.38423322146708666
93,76.295,76.295,0.38411991214926255
93,76.34,76.34,0.3844319666839334
94,76.335,76.335,0.38438146763287456
95,76.345,76.345,0.3844412326688319
95,76.3,76.3,0.38434160236513754
94,76.31,76.31,0.38454828955902015
94,76.305,76.305,0.384495784481865
94,76.24,76.24,0.3842473881399333
94,76.26,76.26,0.38428332021527145
93,76.32,76.32,0.3846190354788021
93,76.345,76.345,0.384891730523
93,76.36,76.36,0.38506442111632194
93,76.33,76.33,0.3849473162195924
93,76.325,76.325,0.38500793438944214
93,76.39,76.39,0.3852692099057739
93,76.46,76.46,0.3855864215423378
93,76.445,76.445,0.38558947528603554
94,76.53,76.53,0.38596788998764725
94,76.605,76.605,0.3863551481546816
94,76.705,76.705,0.38684095884723435
94,76.745,76.745,0.3870637669699379
93,76.735,76.735,0.3870574190512358
93,76.715,76.715,0.38689400236783
93,76.745,76.745,0.38698937657225374
93,76.655,76.655,0.38649870107933665
93,76.605,76.605,0.386266724637288
93,76.725,76.725,0.3869003509511554
93,76.7,76.7,0.38678659803404386
93,76.72,76.72,0.38688437817526067
94,76.775,76.775,0.38720118965953476
94,76.86,76.86,0.3875621680919716
94,76.91,76.91,0.3878511877340733
93,76.9,76.9,0.38787323555751274
93,76.91,76.91,0.38790542013591844
94,76.865,76.865,0.38762456484222435
93,76.875,76.875,0.3877393957122088
94,76.83,76.83,0.3874970423030291
93,76.87,76.87,0.3876305601929139
93,76.83,76.83,0.3874668339523837
93,76.84,76.84,0.3875545160388165
93,76.855,76.855,0.38763288639610927
94,76.93,76.93,0.38804009937340456
95,76.985,76.985,0.3883429324598558
95,76.89,76.89,0.3878661795781025
95,76.95,76.95,0.3881133253956372
94,76.905,76.905,0.3879246275826717
94,76.925,76.925,0.3881005515504035
94,76.925,76.925,0.3880567442279492
94,76.845,76.845,0.3876789385739891
94,76.885,76.885,0.38786602722466607
94,76.905,76.905,0.3880213970131024
94,76.935,76.935,0.38815262983575216
95,76.925,76.925,0.38804129506788276
96,77.0,77.0,0.38843541019385586
96,76.995,76.995,0.3883241476045086
96,77.015,77.015,0.3884498684588674
96,77.06,77.06,0.3887068267043019
96,77.02,77.02,0.3885519041254698
96,77.0,77.0,0.3884723963168716
96,77.085,77.085,0.38884109916910015
96,77.13,77.13,0.3889802032509489
94,77.185,77.185,0.38933338641442594
94,77.255,77.255,0.38971318481929224
94,77.245,77.245,0.3896186469756742
94,77.265,77.265,0.38965824619040346
94,77.32,77.32,0.38994522174336765
93,77.35,77.35,0.3900900486857845
93,77.375,77.375,0.39024531041768895
94,77.375,77.375,0.39023191802762514
94,77.365,77.365,0.39019353492653613
94,77.395,77.395,0.3903671784153854
94,77.405,77.405,0.3904419737939903
94,77.435,77.435,0.39066232033500176
94,77.41,77.41,0.3904694222257637
94,77.385,77.385,0.39029897068929237
95,77.475,77.475,0.39092304219624663
95,77.52,77.52,0.39108238055872696
96,77.5,77.5,0.3908861331503182
97,77.48,77.48,0.3908651176869653
98,77.495,77.495,0.39101255488223335
98,77.48,77.48,0.3909507923888176
98,77.405,77.405,0.3905983705428233
98,77.43,77.43,0.3907988719267368
98,77.54,77.54,0.39138571620707685
99,77.55,77.55,0.39137257088406463
99,77.6,77.6,0.3917225099875927
