max IN degrees,avg IN degrees,avg OUT degrees,avg clustering coeff
36,29.15,29.15,0.4926509979578675
37,29.2,29.2,0.4925907646636752
36,29.1,29.1,0.4915098602336265
36,29.116666666666667,29.116666666666667,0.49177380516705116
36,29.0,29.0,0.4899030941524083
36,28.966666666666665,28.966666666666665,0.4878499352369291
36,28.716666666666665,28.716666666666665,0.48390165102931765
37,28.816666666666666,28.816666666666666,0.48585475477324575
37,28.866666666666667,28.866666666666667,0.48649467246030714
37,28.8,28.8,0.4854634763157089
37,28.733333333333334,28.733333333333334,0.48420494663439395
37,28.866666666666667,28.866666666666667,0.4862787965892975
37,28.916666666666668,28.916666666666668,0.486970955705587
37,29.0,29.0,0.4886224103544735
38,29.016666666666666,29.016666666666666,0.48937368872487375
38,28.916666666666668,28.916666666666668,0.48769961206051665
35,28.9,28.9,0.48817559142842815
36,28.983333333333334,28.983333333333334,0.48928915520376987
36,28.983333333333334,28.983333333333334,0.4887547860869195
36,29.05,29.05,0.48964247310789777
36,29.016666666666666,29.016666666666666,0.4894783819625104
36,28.983333333333334,28.983333333333334,0.4887520906255192
37,28.866666666666667,28.866666666666667,0.4879283302711975
37,28.833333333333332,28.833333333333332,0.4872621104384129
36,28.75,28.75,0.4851971293264537
36,28.7,28.7,0.4844356501331962
36,28.666666666666668,28.666666666666668,0.48492497723979944
36,28.55,28.55,0.48231911549960677
36,28.5,28.5,0.48185141676049614
36,28.483333333333334,28.483333333333334,0.4818864930016901
36,28.483333333333334,28.483333333333334,0.48302398902105437
36,28.433333333333334,28.433333333333334,0.4824933356595784
36,28.333333333333332,28.333333333333332,0.4805492810971513
37,28.283333333333335,28.283333333333335,0.479312922137692
38,28.216666666666665,28.216666666666665,0.47922832911023305
39,28.233333333333334,28.233333333333334,0.4791806236265763
40,28.283333333333335,28.283333333333335,0.48039351961438836
41,28.333333333333332,28.333333333333332,0.4827446740465223
40,28.3,28.3,0.482004561791114
40,28.266666666666666,28.266666666666666,0.4821788683207956
41,28.3,28.3,0.4824643283485731
38,28.433333333333334,28.433333333333334,0.48406902704653376
38,28.5,28.5,0.48512988304976873
38,28.533333333333335,28.533333333333335,0.4858887185931186
37,28.6,28.6,0.4870160095541394
38,28.65,28.65,0.4884768141197313
38,28.483333333333334,28.483333333333334,0.4856567292314009
38,28.516666666666666,28.516666666666666,0.4853627218253349
38,28.5,28.5,0.48480253498424797
38,28.733333333333334,28.733333333333334,0.4880091363005751
38,28.816666666666666,28.816666666666666,0.4890948082468474
39,28.733333333333334,28.733333333333334,0.48810782203884784
39,28.833333333333332,28.833333333333332,0.48993279273566853
39,28.766666666666666,28.766666666666666,0.4891855469974654
38,28.75,28.75,0.489008862424963
38,28.733333333333334,28.733333333333334,0.48849593050165335
38,28.666666666666668,28.666666666666668,0.4878015964410549
38,28.566666666666666,28.566666666666666,0.4868973945965426
38,28.533333333333335,28.533333333333335,0.48676777757602985
38,28.5,28.5,0.48651278042185037
39,28.55,28.55,0.4861659430110992
39,28.6,28.6,0.48797341841259584
38,28.633333333333333,28.633333333333333,0.48885114327015367
38,28.6,28.6,0.48882924702478936
37,28.566666666666666,28.566666666666666,0.48929518454539356
37,28.5,28.5,0.4878880161003661
37,28.5,28.5,0.4877935758880916
38,28.583333333333332,28.583333333333332,0.4897219218374064
39,28.616666666666667,28.616666666666667,0.4900082726133149
39,28.616666666666667,28.616666666666667,0.48978664356004253
39,28.5,28.5,0.4866286045632924
40,28.566666666666666,28.566666666666666,0.4875271407737402
40,28.616666666666667,28.616666666666667,0.48861713057852557
40,28.616666666666667,28.616666666666667,0.48903291947010474
40,28.733333333333334,28.733333333333334,0.49075518582930916
40,28.733333333333334,28.733333333333334,0.4901346084661093
40,28.783333333333335,28.783333333333335,0.4911329123048545
39,28.85,28.85,0.49229148522159993
39,28.816666666666666,28.816666666666666,0.4921463505046994
40,28.816666666666666,28.816666666666666,0.4921409796250289
40,28.783333333333335,28.783333333333335,0.4909829603920238
39,28.783333333333335,28.783333333333335,0.4902183288365258
39,28.816666666666666,28.816666666666666,0.49074804387275717
39,28.883333333333333,28.883333333333333,0.4917123711962983
38,29.0,29.0,0.4935635560224839
36,29.0,29.0,0.4930191012172413
36,29.15,29.15,0.49557450571023437
35,29.15,29.15,0.4951100886428768
35,29.116666666666667,29.116666666666667,0.495095436107953
36,29.183333333333334,29.183333333333334,0.4958004902939893
36,29.183333333333334,29.183333333333334,0.4967796061140073
36,29.216666666666665,29.216666666666665,0.4968682408094755
37,29.233333333333334,29.233333333333334,0.4968766542166902
37,29.066666666666666,29.066666666666666,0.4936918710143559
38,28.966666666666665,28.966666666666665,0.49323455220841456
38,29.05,29.05,0.4946605794002391
38,29.0,29.0,0.4937879933267512
38,29.133333333333333,29.133333333333333,0.49632237062876106
36,29.033333333333335,29.033333333333335,0.4944327622945332
36,29.233333333333334,29.233333333333334,0.4978356848967066
37,29.2,29.2,0.4976883857753147
36,29.2,29.2,0.4977130006442908
36,29.25,29.25,0.49854190144788624
37,29.216666666666665,29.216666666666665,0.49772974662827274
36,29.233333333333334,29.233333333333334,0.4979839979780428
36,29.133333333333333,29.133333333333333,0.4965975779098655
37,29.166666666666668,29.166666666666668,0.4967185833750088
37,29.316666666666666,29.316666666666666,0.4996796997440267
37,29.183333333333334,29.183333333333334,0.49623224881695566
37,29.116666666666667,29.116666666666667,0.4957271972532632
37,29.116666666666667,29.116666666666667,0.4969707671506508
37,29.133333333333333,29.133333333333333,0.49690251921101847
39,29.133333333333333,29.133333333333333,0.4974784556356322
39,29.116666666666667,29.116666666666667,0.4970507768559077
38,29.166666666666668,29.166666666666668,0.4982966605714621
38,29.333333333333332,29.333333333333332,0.4999601903208928
38,29.35,29.35,0.49924430843749534
38,29.366666666666667,29.366666666666667,0.5001926574757494
38,29.483333333333334,29.483333333333334,0.5004428537416056
38,29.4,29.4,0.4997752897982389
37,29.316666666666666,29.316666666666666,0.49766021565384394
37,29.45,29.45,0.5005470508179652
37,29.516666666666666,29.516666666666666,0.5011764584198074
37,29.516666666666666,29.516666666666666,0.5012107504479877
37,29.433333333333334,29.433333333333334,0.4990667880693087
37,29.333333333333332,29.333333333333332,0.49763079239784636
37,29.333333333333332,29.333333333333332,0.497303105953716
37,29.233333333333334,29.233333333333334,0.4957892359603899
37,29.2,29.2,0.49526812043124496
38,29.15,29.15,0.4943811885501692
38,29.033333333333335,29.033333333333335,0.49332245154459237
38,29.016666666666666,29.016666666666666,0.49358292166605283
38,29.016666666666666,29.016666666666666,0.49445015785269725
38,29.0,29.0,0.4945451553970986
39,29.083333333333332,29.083333333333332,0.495231395500792
39,29.016666666666666,29.016666666666666,0.49447409333939774
39,29.1,29.1,0.4964574846382205
39,29.083333333333332,29.083333333333332,0.49690476591453386
39,29.166666666666668,29.166666666666668,0.4973029245377988
38,29.183333333333334,29.183333333333334,0.4970753376923513
38,29.083333333333332,29.083333333333332,0.49543929196804515
38,29.0,29.0,0.4939914824096074
38,29.066666666666666,29.066666666666666,0.49504822557933115
37,29.1,29.1,0.49498438619525903
38,28.983333333333334,28.983333333333334,0.4931973282531734
38,29.0,29.0,0.4944844396118609
38,29.016666666666666,29.016666666666666,0.49443971354975563
38,29.066666666666666,29.066666666666666,0.4941872217114686
39,29.133333333333333,29.133333333333333,0.49521343443858695
39,29.2,29.2,0.495915864670348
40,29.283333333333335,29.283333333333335,0.49764193467853407
41,29.333333333333332,29.333333333333332,0.5000925657713353
40,29.3,29.3,0.49870364306320447
40,29.35,29.35,0.4999309924940264
40,29.416666666666668,29.416666666666668,0.5012835355041222
40,29.35,29.35,0.49976429270976347
40,29.433333333333334,29.433333333333334,0.5003925102051141
39,29.4,29.4,0.4994851553580124
39,29.366666666666667,29.366666666666667,0.4986334113091893
39,29.333333333333332,29.333333333333332,0.4986514856726334
39,29.383333333333333,29.383333333333333,0.49862927928867534
40,29.416666666666668,29.416666666666668,0.49913733035703156
40,29.45,29.45,0.4993762944821591
39,29.533333333333335,29.533333333333335,0.5008046896594237
40,29.516666666666666,29.516666666666666,0.5005259099950162
41,29.7,29.7,0.5046699139490446
41,29.75,29.75,0.5068909740058841
41,29.9,29.9,0.5101355481048355
41,29.9,29.9,0.510172157819015
41,29.85,29.85,0.509079362293396
41,29.783333333333335,29.783333333333335,0.5066648786922754
41,29.733333333333334,29.733333333333334,0.505496510523669
41,29.75,29.75,0.5059192197048887
41,29.633333333333333,29.633333333333333,0.5033971880013959
41,29.616666666666667,29.616666666666667,0.5035503604948992
41,29.7,29.7,0.5042147716633268
41,29.733333333333334,29.733333333333334,0.5053191373268591
41,29.883333333333333,29.883333333333333,0.5079393393179976
41,29.933333333333334,29.933333333333334,0.5084516277976141
41,29.933333333333334,29.933333333333334,0.5081332574657031
41,29.916666666666668,29.916666666666668,0.5078849424504105
41,30.016666666666666,30.016666666666666,0.5096685539432889
40,30.016666666666666,30.016666666666666,0.509429560819921
40,30.25,30.25,0.5128958240225243
40,30.35,30.35,0.5150609612258465
40,30.4,30.4,0.5170840366357866
40,30.266666666666666,30.266666666666666,0.5144893175059385
40,30.316666666666666,30.316666666666666,0.515147400763642
40,30.316666666666666,30.316666666666666,0.5157083016012503
40,30.15,30.15,0.5123504407812358
40,30.1,30.1,0.5113128510921341
40,30.133333333333333,30.133333333333333,0.5113274066991524
40,30.0,30.0,0.5090703420815275
40,29.933333333333334,29.933333333333334,0.5075927851180876
40,29.966666666666665,29.966666666666665,0.5076624308626971
41,29.95,29.95,0.5078250691819146
41,29.8,29.8,0.5061589308009802
41,29.766666666666666,29.766666666666666,0.5060580833846724
42,29.75,29.75,0.5056429563452015
42,29.616666666666667,29.616666666666667,0.5033928412546752
42,29.683333333333334,29.683333333333334,0.5041740738543922
41,29.583333333333332,29.583333333333332,0.502413437416782
42,29.8,29.8,0.5059314378504447
42,29.766666666666666,29.766666666666666,0.50515324255219
40,29.716666666666665,29.716666666666665,0.503706215385823
40,29.75,29.75,0.5043147740332735
40,29.766666666666666,29.766666666666666,0.5050256753100368
40,29.683333333333334,29.683333333333334,0.503036810056361
40,29.766666666666666,29.766666666666666,0.5043819843229742
40,29.85,29.85,0.5060963847088285
40,29.9,29.9,0.5062046089257505
40,29.9,29.9,0.5051524155633396
40,29.95,29.95,0.5058522826758861
40,29.866666666666667,29.866666666666667,0.5053867647162733
40,29.916666666666668,29.916666666666668,0.50580031224881
40,30.066666666666666,30.066666666666666,0.5085522734836473
40,30.033333333333335,30.033333333333335,0.5080636028285502
41,30.15,30.15,0.5102778937139142
40,30.216666666666665,30.216666666666665,0.5109643534259156
40,30.3,30.3,0.5121409552670713
40,30.316666666666666,30.316666666666666,0.5125324686911708
40,30.333333333333332,30.333333333333332,0.5122678402760212
41,30.4,30.4,0.513333753684073
41,30.333333333333332,30.333333333333332,0.5129159836179388
41,30.116666666666667,30.116666666666667,0.5090126886971714
41,30.166666666666668,30.166666666666668,0.5099297123591596
42,30.183333333333334,30.183333333333334,0.511034808799274
42,30.133333333333333,30.133333333333333,0.5101833209161419
42,30.3,30.3,0.5133985823821069
42,30.483333333333334,30.483333333333334,0.5164251958992384
42,30.433333333333334,30.433333333333334,0.5157870391416519
40,30.466666666666665,30.466666666666665,0.5168057026730196
40,30.6,30.6,0.5191570107645702
40,30.566666666666666,30.566666666666666,0.5186544985073432
39,30.466666666666665,30.466666666666665,0.5168814694459241
39,30.4,30.4,0.5155293291487747
39,30.433333333333334,30.433333333333334,0.5154859213394418
39,30.4,30.4,0.5152617955607809
39,30.383333333333333,30.383333333333333,0.5155013196054716
39,30.283333333333335,30.283333333333335,0.5136390472998855
39,30.15,30.15,0.5117622998020279
39,30.216666666666665,30.216666666666665,0.5124166173551881
39,30.15,30.15,0.5117686757774411
39,30.116666666666667,30.116666666666667,0.5117232294688291
38,30.15,30.15,0.5120528386344492
38,30.15,30.15,0.5114897135351198
38,30.283333333333335,30.283333333333335,0.5148031214437614
39,30.333333333333332,30.333333333333332,0.5152411024633845
38,30.183333333333334,30.183333333333334,0.5120455440873355
38,30.183333333333334,30.183333333333334,0.5114546769803484
37,30.183333333333334,30.183333333333334,0.5108419027194631
37,29.983333333333334,29.983333333333334,0.507295227858917
38,29.966666666666665,29.966666666666665,0.507852845205012
38,29.866666666666667,29.866666666666667,0.5065485291667161
38,29.883333333333333,29.883333333333333,0.5072781693333631
39,29.933333333333334,29.933333333333334,0.5085258101924712
39,29.966666666666665,29.966666666666665,0.5100102319123787
39,29.783333333333335,29.783333333333335,0.506759875535126
40,29.85,29.85,0.5078160318000593
40,29.95,29.95,0.5096640289650493
40,30.033333333333335,30.033333333333335,0.5106460340032467
39,30.083333333333332,30.083333333333332,0.5107154239159535
39,30.233333333333334,30.233333333333334,0.5139724991347719
39,30.433333333333334,30.433333333333334,0.5176472772197177
39,30.5,30.5,0.5191731407431314
39,30.5,30.5,0.519130401750733
38,30.483333333333334,30.483333333333334,0.5185682298715603
39,30.466666666666665,30.466666666666665,0.5188606172644862
39,30.533333333333335,30.533333333333335,0.5203181542367175
39,30.7,30.7,0.5226511181955955
39,30.75,30.75,0.5233952718769112
39,30.766666666666666,30.766666666666666,0.5239849390674428
39,30.95,30.95,0.5276489968943923
39,31.1,31.1,0.5303939321422295
39,31.05,31.05,0.5305662414129777
41,30.983333333333334,30.983333333333334,0.5296281377194606
41,31.033333333333335,31.033333333333335,0.5304320678874482
41,30.9,30.9,0.5282979083401307
42,30.933333333333334,30.933333333333334,0.5285261927378807
41,30.966666666666665,30.966666666666665,0.5283079992854716
40,30.9,30.9,0.5266141510156476
40,30.9,30.9,0.5269709717471499
39,30.816666666666666,30.816666666666666,0.5254008106166841
39,30.916666666666668,30.916666666666668,0.5267670460022138
39,30.866666666666667,30.866666666666667,0.526123977034575
39,30.866666666666667,30.866666666666667,0.5264395548256524
40,30.866666666666667,30.866666666666667,0.5262187440806451
39,30.95,30.95,0.5283149538185123
39,30.833333333333332,30.833333333333332,0.5262447452556259
39,30.766666666666666,30.766666666666666,0.5250606116500174
39,30.65,30.65,0.5229619075333686
39,30.716666666666665,30.716666666666665,0.5233654382060878
39,30.666666666666668,30.666666666666668,0.522874771577573
38,30.816666666666666,30.816666666666666,0.5241658830206501
39,30.833333333333332,30.833333333333332,0.5241118994645013
38,30.683333333333334,30.683333333333334,0.5215414433861311
38,30.65,30.65,0.5204995659128359
39,30.716666666666665,30.716666666666665,0.5213079800283251
39,30.666666666666668,30.666666666666668,0.5214573585381697
40,30.733333333333334,30.733333333333334,0.5234072330286038
39,30.716666666666665,30.716666666666665,0.523537728112511
