max IN degrees,avg IN degrees,avg OUT degrees,avg clustering coeff
37,29.883333333333333,29.883333333333333,0.5089338819484771
38,29.8,29.8,0.5076528981933972
37,29.6,29.6,0.5031587087578604
37,29.583333333333332,29.583333333333332,0.5036514668467392
37,29.516666666666666,29.516666666666666,0.5025527903853501
38,29.3,29.3,0.4986528561186772
38,29.283333333333335,29.283333333333335,0.4984689823141958
37,29.216666666666665,29.216666666666665,0.49718905002274144
36,29.0,29.0,0.4930959513196967
37,28.9,28.9,0.49131419330139525
37,28.95,28.95,0.4919057244922396
37,28.933333333333334,28.933333333333334,0.4912371813579542
37,29.083333333333332,29.083333333333332,0.49443108431290866
37,28.95,28.95,0.49169581803598106
37,28.983333333333334,28.983333333333334,0.49190218300976696
37,29.05,29.05,0.49296704793088225
37,28.933333333333334,28.933333333333334,0.49038513306525194
37,28.916666666666668,28.916666666666668,0.4897722269662554
37,28.85,28.85,0.48810740226703386
37,28.55,28.55,0.48354212633274213
37,28.483333333333334,28.483333333333334,0.48272278079034314
37,28.45,28.45,0.48193478647684673
38,28.366666666666667,28.366666666666667,0.4808965484924811
38,28.283333333333335,28.283333333333335,0.47972856541523895
37,28.083333333333332,28.083333333333332,0.477083169565615
38,28.016666666666666,28.016666666666666,0.4764442007997873
38,27.9,27.9,0.47397806603411596
38,27.983333333333334,27.983333333333334,0.4754143069443638
38,27.933333333333334,27.933333333333334,0.4749298965706035
37,27.85,27.85,0.4738440060685918
37,27.95,27.95,0.4763671697420327
37,27.816666666666666,27.816666666666666,0.47346631191963723
37,27.883333333333333,27.883333333333333,0.47447204456085146
37,27.833333333333332,27.833333333333332,0.47313615457688607
37,27.666666666666668,27.666666666666668,0.4702052035401811
37,27.633333333333333,27.633333333333333,0.4693956172921333
37,27.6,27.6,0.4690903310994027
37,27.45,27.45,0.46629746522688315
37,27.416666666666668,27.416666666666668,0.4654354492053453
36,27.333333333333332,27.333333333333332,0.46334587770342406
36,27.283333333333335,27.283333333333335,0.46252770373146834
37,27.183333333333334,27.183333333333334,0.4608347626105189
36,26.966666666666665,26.966666666666665,0.4577978990486787
36,26.766666666666666,26.766666666666666,0.4550011556849724
36,26.733333333333334,26.733333333333334,0.45431289557187227
36,26.55,26.55,0.4514856166199569
36,26.533333333333335,26.533333333333335,0.45038103307978633
35,26.4,26.4,0.44816447651811964
37,26.433333333333334,26.433333333333334,0.44829534175241204
37,26.4,26.4,0.4481237283789927
37,26.333333333333332,26.333333333333332,0.44769328262077757
36,26.35,26.35,0.44788200674530604
36,26.316666666666666,26.316666666666666,0.447719613274495
35,26.216666666666665,26.216666666666665,0.4458528610846652
35,26.066666666666666,26.066666666666666,0.443860846080599
35,26.0,26.0,0.4422691531802423
34,25.85,25.85,0.4390855802666635
34,25.783333333333335,25.783333333333335,0.4380757728836639
34,25.783333333333335,25.783333333333335,0.4374855134533494
35,25.633333333333333,25.633333333333333,0.4362796700780097
35,25.55,25.55,0.43416450831007547
34,25.433333333333334,25.433333333333334,0.43224817512430763
34,25.2,25.2,0.42835401207484997
35,25.166666666666668,25.166666666666668,0.4283731811879646
36,24.95,24.95,0.4249391555655876
36,24.833333333333332,24.833333333333332,0.422160209057521
36,24.8,24.8,0.4213600387174586
35,24.633333333333333,24.633333333333333,0.4179223576824652
36,24.65,24.65,0.4182739132788933
36,24.7,24.7,0.41788968916619473
36,24.533333333333335,24.533333333333335,0.41594214444672883
36,24.55,24.55,0.4165577565517445
36,24.45,24.45,0.41498044266953094
36,24.5,24.5,0.4165719454329267
36,24.45,24.45,0.41603985848949493
36,24.433333333333334,24.433333333333334,0.4158607668683423
36,24.366666666666667,24.366666666666667,0.41389283993494036
36,24.35,24.35,0.4140222943018059
36,24.3,24.3,0.4124940096626446
36,24.333333333333332,24.333333333333332,0.4126145977981326
36,24.283333333333335,24.283333333333335,0.411427145806263
36,24.283333333333335,24.283333333333335,0.4121763891822765
36,24.3,24.3,0.4117898363478857
35,24.2,24.2,0.4110284284396794
34,24.183333333333334,24.183333333333334,0.4104722000967005
34,24.166666666666668,24.166666666666668,0.4106577610428961
34,24.183333333333334,24.183333333333334,0.41140453102850605
34,24.2,24.2,0.4113689850993098
35,24.083333333333332,24.083333333333332,0.40875714879564035
35,24.0,24.0,0.4072351255675881
35,23.966666666666665,23.966666666666665,0.4062634178069046
34,23.966666666666665,23.966666666666665,0.4063662715755529
34,24.016666666666666,24.016666666666666,0.4078955850318188
