w_sim,w_prox,w_pop,run,max IN degrees,avg degrees,avg clustering coeff,betweenness centrality
0.6,0.2,0.2,3,35,7.259221628693428,0.3304048696967386,"{0: 0.00981404029349235, 1: 0.0101423519886453, 2: 0.011575240825845176, 3: 0.011987774402157963, 4: 0.00928299070422358, 5: 0.00993026942362156, 6: 0.012786492656557123, 7: 0.01055343374541602, 8: 0.007110919077075402, 9: 0.006689742981040322, 10: 0.007889739225355664, 11: 0.0082926155599403, 12: 0.006953317131600774, 13: 0.010441430198682414, 14: 0.00907092799216087, 15: 0.007545679871425237, 16: 0.007016484222366575, 17: 0.008770977264127951, 18: 0.0073798039249288235, 19: 0.008393203759843565, 20: 0.011933130939980253, 21: 0.006728586341801491, 22: 0.009331139619213752, 23: 0.005785982498311267, 24: 0.006580646200912116, 25: 0.006790287954671516, 26: 0.00818114695532101, 27: 0.006012191019241785, 28: 0.012220808186763063, 29: 0.011811070010103047, 30: 0.007193885009154951, 31: 0.009480030874067942, 32: 0.006211812708589502, 33: 0.013371495296354279, 34: 0.01224992311313826, 35: 0.0057316832145599276, 36: 0.010251604087220529, 37: 0.009065511442626673, 38: 0.00924126795399962, 39: 0.009773483489236911, 40: 0.008409190847748462, 41: 0.011037331917670357, 42: 0.007387734004373811, 43: 0.008878224032333622, 44: 0.007758920752474338, 45: 0.008464226443678498, 46: 0.007076107076107077, 47: 0.006294059612955665, 48: 0.007789616769270276, 49: 0.004284045123086219, 50: 0.009671711726506245, 51: 0.012093521682562778, 52: 0.007376050612351983, 53: 0.007625905989121136, 54: 0.009347675262260274, 55: 0.0105639394821506, 56: 0.018050282947543225, 57: 0.011114312484175498, 58: 0.008680143183567843, 59: 0.01160003377469131, 60: 0.009256479205109342, 61: 0.008054087581686296, 62: 0.014777282137274084, 63: 0.012628080063615921, 64: 0.010025959577732342, 65: 0.008583066117312693, 66: 0.012700277426304826, 67: 0.008054317537597151, 68: 0.008374237141360428, 69: 0.009290254666966997, 70: 0.006552510566410647, 71: 0.008940027765571682, 72: 0.012960276487673754, 73: 0.008774038034714908, 74: 0.00621655587409012}"
0.6,0.2,0.2,3,34,7.525385220896817,0.3313592900750053,"{0: 0.010070293974403564, 1: 0.01035116452622496, 2: 0.011635261615116571, 3: 0.01183722048448076, 4: 0.009146902554436802, 5: 0.009696956519075779, 6: 0.013398042422015026, 7: 0.009977317587108079, 8: 0.007366929189048448, 9: 0.007077442180181909, 10: 0.007822532993765868, 11: 0.008535828912541241, 12: 0.006847086717151182, 13: 0.011263510311656968, 14: 0.009310250149291247, 15: 0.00728731257538671, 16: 0.006688128681480819, 17: 0.009070117631761469, 18: 0.0071737270165956706, 19: 0.00832338863160781, 20: 0.012359372804578288, 21: 0.006703860717760798, 22: 0.00915657437615536, 23: 0.005011103298774532, 24: 0.0064199125641510825, 25: 0.007139996866024263, 26: 0.008505984095226644, 27: 0.0060559119533736775, 28: 0.012448311153992055, 29: 0.011299940313840396, 30: 0.007583709457198577, 31: 0.009012320902933312, 32: 0.005837367128664469, 33: 0.012794782990189917, 34: 0.011015619834112986, 35: 0.0057135496347825105, 36: 0.011060244621888458, 37: 0.010215459082300338, 38: 0.00928341894800396, 39: 0.009472821287889783, 40: 0.008320851290230821, 41: 0.01109715886105894, 42: 0.007986672531394531, 43: 0.008642755903029875, 44: 0.007634361809422244, 45: 0.008705634989881566, 46: 0.006975130005951923, 47: 0.006676180885487898, 48: 0.008111159556566487, 49: 0.004086672151740645, 50: 0.009530707475912956, 51: 0.012418020808431768, 52: 0.0075763326619491, 53: 0.0077557512287568684, 54: 0.00913920528646556, 55: 0.010067197471508511, 56: 0.016211293951019983, 57: 0.011327859786763898, 58: 0.008993555397664988, 59: 0.011670805078339324, 60: 0.00963679790734585, 61: 0.0075806993615212806, 62: 0.01409335021341468, 63: 0.012393811603118613, 64: 0.01028513415197541, 65: 0.008696607241127788, 66: 0.012597123812877236, 67: 0.00821273670286563, 68: 0.008248590697220832, 69: 0.008824473379267898, 70: 0.0072636895310142675, 71: 0.008872384300466492, 72: 0.012678905743974239, 73: 0.008394351952974034, 74: 0.006107032648128537}"
0.6,0.2,0.2,3,34,7.855327994772577,0.3328435143902086,"{0: 0.010307805085202345, 1: 0.00910600921049569, 2: 0.011536522475281539, 3: 0.011736504935958727, 4: 0.009088841270549573, 5: 0.009023556731420442, 6: 0.014370517795175328, 7: 0.010451855230336244, 8: 0.007311717272485435, 9: 0.006550049101418964, 10: 0.007964883392965584, 11: 0.00841993016650551, 12: 0.006348352343887284, 13: 0.011143504390643285, 14: 0.009553194314552038, 15: 0.00731327985902696, 16: 0.006937608393087846, 17: 0.008919352993394955, 18: 0.006877015161664638, 19: 0.008612973197029031, 20: 0.012080338859541524, 21: 0.006425819325723955, 22: 0.009317368877276161, 23: 0.005012253471157583, 24: 0.006934385254365057, 25: 0.006969822248563361, 26: 0.00884058221463489, 27: 0.006024497709630667, 28: 0.011777531765176989, 29: 0.011028823443207006, 30: 0.007777543146248458, 31: 0.008928592481247546, 32: 0.006308310693619091, 33: 0.012778492468654038, 34: 0.011294683480178539, 35: 0.005834813302632232, 36: 0.010453646070084427, 37: 0.010517604846774874, 38: 0.009019538681522691, 39: 0.009424076632980746, 40: 0.008226583474762772, 41: 0.011347629573858422, 42: 0.007900682862114029, 43: 0.009463353585080653, 44: 0.007363712480553739, 45: 0.009147629087589206, 46: 0.006690243020874198, 47: 0.006735982400768864, 48: 0.009212601717051476, 49: 0.003928876883836135, 50: 0.009985310575955628, 51: 0.012833563860961118, 52: 0.008292252394153168, 53: 0.0076116274645686415, 54: 0.00887864721638781, 55: 0.00964251827970603, 56: 0.01590913006478496, 57: 0.011043711214944095, 58: 0.008907407356238944, 59: 0.011407746796278404, 60: 0.009798712281588995, 61: 0.007090207832259464, 62: 0.012327500237158638, 63: 0.012119726986769698, 64: 0.011043860302254922, 65: 0.007808571831243932, 66: 0.013002789839431384, 67: 0.007981033731436632, 68: 0.008299167973825506, 69: 0.008998451721054462, 70: 0.007200075008294185, 71: 0.008757995088626267, 72: 0.012557011397396345, 73: 0.008608498228764144, 74: 0.006856729031386565}"
0.6,0.2,0.2,3,35,7.673504985902588,0.3370078162897084,"{0: 0.009951847356158396, 1: 0.009361006344285955, 2: 0.01159906131199443, 3: 0.011772725451210548, 4: 0.008722924210487296, 5: 0.008653238447758995, 6: 0.013976974754573462, 7: 0.010624790409238432, 8: 0.0073283878833838535, 9: 0.006967461142521579, 10: 0.008871197730988222, 11: 0.008079338976800701, 12: 0.006220016151523001, 13: 0.010585939856689253, 14: 0.009341213108336393, 15: 0.007318475182093232, 16: 0.006366626990116113, 17: 0.008798745528197581, 18: 0.006345821298480443, 19: 0.008423217659720482, 20: 0.011824586216258894, 21: 0.006376558516969475, 22: 0.008870892317762414, 23: 0.005253180148478931, 24: 0.0068955168068786125, 25: 0.0067632761125911815, 26: 0.009134845854225391, 27: 0.005911147500591497, 28: 0.0115220778748176, 29: 0.011209592781913493, 30: 0.007353432238658501, 31: 0.009197294793588105, 32: 0.006157433449992507, 33: 0.013214959589911878, 34: 0.010937977366261007, 35: 0.006103022255371803, 36: 0.010454878948029633, 37: 0.011236141856609223, 38: 0.00869458768940299, 39: 0.009185662182237526, 40: 0.008090621607946345, 41: 0.011856850802257733, 42: 0.009330338924469297, 43: 0.009965210906991729, 44: 0.00782469520992147, 45: 0.009206966388674687, 46: 0.0072165707338954724, 47: 0.00629350584527861, 48: 0.008081026735337775, 49: 0.003520209427743674, 50: 0.01056404111903709, 51: 0.012933495553358565, 52: 0.008545587560547907, 53: 0.007509317677528798, 54: 0.008256240599109255, 55: 0.01023046654593794, 56: 0.01539442984452315, 57: 0.010840682672874455, 58: 0.00832422799692404, 59: 0.011064012253630132, 60: 0.009592854027785534, 61: 0.007832557299773892, 62: 0.012026317143158403, 63: 0.012380581338128306, 64: 0.01137063019617411, 65: 0.007571981887050378, 66: 0.012817893117100042, 67: 0.007980338420560652, 68: 0.008129389636238951, 69: 0.00917279383737885, 70: 0.007042462093831957, 71: 0.008521916731022292, 72: 0.012307788753195685, 73: 0.008435314322703526, 74: 0.006132249368550738}"
0.6,0.2,0.2,3,34,8.502950356044362,0.33894823622454257,"{0: 0.009741888574483257, 1: 0.00919435738633966, 2: 0.011717887886300456, 3: 0.011533711770416042, 4: 0.008582763967587326, 5: 0.008967749207475237, 6: 0.013712882719732035, 7: 0.010819301230260134, 8: 0.007524846727102971, 9: 0.006420504677958345, 10: 0.008393717715836975, 11: 0.007822831271662858, 12: 0.006257798628923359, 13: 0.009815868881138825, 14: 0.008453605713879687, 15: 0.007722909747486702, 16: 0.0069531679019994895, 17: 0.009336138017644866, 18: 0.006272607098553915, 19: 0.00876953340692261, 20: 0.011479780049534918, 21: 0.006538270750599518, 22: 0.008724248602424097, 23: 0.005671981337828066, 24: 0.007083783433501403, 25: 0.006952787689089059, 26: 0.008628946204490121, 27: 0.00577275772179076, 28: 0.011511491562861425, 29: 0.011338109520019273, 30: 0.007129630216911272, 31: 0.008873879059213469, 32: 0.006128415280361929, 33: 0.012901053272782357, 34: 0.01193191277800464, 35: 0.006019673980041255, 36: 0.010034157294431264, 37: 0.011012265605335709, 38: 0.009146267089511077, 39: 0.008906361207932523, 40: 0.008000979052550365, 41: 0.012467344734669475, 42: 0.008941943511899829, 43: 0.010286413111755578, 44: 0.008051192867925978, 45: 0.00914588062553413, 46: 0.007197035269154529, 47: 0.006457263115200263, 48: 0.00866433981865086, 49: 0.0037298287298287297, 50: 0.01026972001992147, 51: 0.013003740390928142, 52: 0.008257366714309334, 53: 0.007779220858390883, 54: 0.008105250294009362, 55: 0.010203690234915052, 56: 0.01510874942185642, 57: 0.010844895338247475, 58: 0.008131817283763932, 59: 0.011461389952579148, 60: 0.009479039948419482, 61: 0.008220396814325735, 62: 0.012153833195331986, 63: 0.01198907599094206, 64: 0.01053667911544624, 65: 0.008100886525544058, 66: 0.012673221406098117, 67: 0.008068835426865876, 68: 0.008271533528382842, 69: 0.008688163825150128, 70: 0.006973120233595657, 71: 0.007907577246819793, 72: 0.011921660884191101, 73: 0.00836891125972512, 74: 0.006117166209833415}"
0.6,0.2,0.2,3,34,7.450847440295626,0.3405303090737346,"{0: 0.009794134345907111, 1: 0.00898575931815255, 2: 0.011264417141733825, 3: 0.01232213130883558, 4: 0.008993273633684592, 5: 0.00923280083231735, 6: 0.013272414984743753, 7: 0.01109519807142692, 8: 0.007317082468170301, 9: 0.006056680084681697, 10: 0.008360769566450469, 11: 0.007817779554282376, 12: 0.006236917185748773, 13: 0.009927971979744743, 14: 0.008273009386023085, 15: 0.007513739675302933, 16: 0.007133230571989639, 17: 0.008709058537825663, 18: 0.006210638029735531, 19: 0.008440301570841456, 20: 0.011200731063744761, 21: 0.0071930148028052955, 22: 0.008386698273886026, 23: 0.005903549301011024, 24: 0.006945559322674551, 25: 0.006789895231676054, 26: 0.008885290296450653, 27: 0.0050847191056699525, 28: 0.012916593642822492, 29: 0.010552658724495952, 30: 0.006848107256044404, 31: 0.008934939137396835, 32: 0.006426957539971238, 33: 0.0128497605834431, 34: 0.011767089068660384, 35: 0.006595512064891597, 36: 0.009654083369836792, 37: 0.010809931841358112, 38: 0.0087642386343031, 39: 0.008699352781746012, 40: 0.007983639984042884, 41: 0.011826708734444432, 42: 0.008758232977612511, 43: 0.010092809407877903, 44: 0.007918478093739979, 45: 0.009974209707287872, 46: 0.007213847614733996, 47: 0.006926952882835236, 48: 0.008488681937513527, 49: 0.004280349057746318, 50: 0.01001405478137952, 51: 0.012271843683004038, 52: 0.007733461490512256, 53: 0.007253543867161917, 54: 0.007656270564207713, 55: 0.010491037354453954, 56: 0.015438802757497361, 57: 0.010321229917321777, 58: 0.007683428402606484, 59: 0.011109527452194658, 60: 0.009443580067069189, 61: 0.00833208717475438, 62: 0.011728986099453465, 63: 0.01168400506132174, 64: 0.011102782250042522, 65: 0.008027758883923266, 66: 0.012948096424123822, 67: 0.0079855916781783, 68: 0.009528204476834614, 69: 0.008244126213505745, 70: 0.006953579450557693, 71: 0.008244758320302236, 72: 0.012474455101368881, 73: 0.009232967860083088, 74: 0.006177878513696403}"
0.6,0.2,0.2,3,33,7.5508328155129005,0.34308457437407586,"{0: 0.009681853069242272, 1: 0.008370223171794486, 2: 0.010077580947846863, 3: 0.011834995472183224, 4: 0.009007403699184523, 5: 0.008948664589276999, 6: 0.012910228578036797, 7: 0.011149534522822198, 8: 0.007474560128669717, 9: 0.006028544374636236, 10: 0.008385879694300323, 11: 0.007672788152240206, 12: 0.006580416758700402, 13: 0.009506879541126117, 14: 0.00820926427795888, 15: 0.007680556794174844, 16: 0.006596118486730897, 17: 0.00899293716074538, 18: 0.005786944551046082, 19: 0.008196013846698777, 20: 0.011523092324865087, 21: 0.007146342334698498, 22: 0.007962212232961629, 23: 0.005606334096463024, 24: 0.007157686579523809, 25: 0.006602752321930404, 26: 0.00912564755735586, 27: 0.005231688430721469, 28: 0.012597017809548026, 29: 0.010734229207234845, 30: 0.006760438589608615, 31: 0.008536956119550803, 32: 0.006474881379192419, 33: 0.01285586497613089, 34: 0.011790054683890301, 35: 0.006608782711723888, 36: 0.009473690209991578, 37: 0.011237286816456839, 38: 0.00912818934071956, 39: 0.00872569835603679, 40: 0.008177263540881592, 41: 0.010875293666389558, 42: 0.00905302018315717, 43: 0.009863817559224488, 44: 0.007809660796163616, 45: 0.010441193821532257, 46: 0.007157071273711079, 47: 0.007311514739999832, 48: 0.00858941423002664, 49: 0.003898321354002257, 50: 0.009902413906241464, 51: 0.012852480212472156, 52: 0.0071911325335982865, 53: 0.00802896032045911, 54: 0.007514027784978633, 55: 0.010668813806404458, 56: 0.01519395268388016, 57: 0.010909660803899322, 58: 0.007622547605424319, 59: 0.010780103417089718, 60: 0.010796249570423624, 61: 0.008003264651129278, 62: 0.011515114758466897, 63: 0.011610686172531456, 64: 0.011064539222274917, 65: 0.008209095452246138, 66: 0.012681046660700166, 67: 0.008305131371207117, 68: 0.009862387420808048, 69: 0.008923730584689489, 70: 0.0063957996321010015, 71: 0.008087847300176065, 72: 0.012448347369781697, 73: 0.009254511374777289, 74: 0.006121909375334031}"
0.6,0.2,0.2,3,33,7.860481042137422,0.3449560464229482,"{0: 0.00979397373938067, 1: 0.008913287564576846, 2: 0.010336652676499573, 3: 0.012737120593687878, 4: 0.008899722084653592, 5: 0.009298563388007384, 6: 0.012196480936408417, 7: 0.011019177533077613, 8: 0.007386112845419857, 9: 0.006343835518895953, 10: 0.0076683345317511325, 11: 0.007269498954631912, 12: 0.00639075456259179, 13: 0.009583141231005853, 14: 0.008146402324484518, 15: 0.00764060630599712, 16: 0.006425033706459976, 17: 0.008730516597156401, 18: 0.006474481101797783, 19: 0.009166742975163605, 20: 0.011125334896487194, 21: 0.007316427864373069, 22: 0.007851035923155184, 23: 0.005908980868690781, 24: 0.006445758460262892, 25: 0.006742110756010836, 26: 0.008717390118477952, 27: 0.00522570802083292, 28: 0.012719583675466028, 29: 0.009812062007871838, 30: 0.007244887341583557, 31: 0.008388668642496202, 32: 0.006539685704673619, 33: 0.012180717896874225, 34: 0.011350604586905955, 35: 0.007093809118386073, 36: 0.00963974250638231, 37: 0.011106684792220656, 38: 0.009102528240320342, 39: 0.009165250059690029, 40: 0.00817193912479972, 41: 0.010947019241741244, 42: 0.009384495902424992, 43: 0.010134459953154557, 44: 0.00765176249160939, 45: 0.010290003914097387, 46: 0.00650838329625598, 47: 0.007312057644450875, 48: 0.009049171881565113, 49: 0.004098673009833365, 50: 0.009704363698118735, 51: 0.012814333246444447, 52: 0.006247167719770459, 53: 0.007838576633902984, 54: 0.007324333920828682, 55: 0.010822182100385163, 56: 0.015157123794311547, 57: 0.011198175637136156, 58: 0.007835307120158048, 59: 0.010109978774362333, 60: 0.011380842172542417, 61: 0.007512995219481923, 62: 0.012167208198634467, 63: 0.011045463336962125, 64: 0.010170279650537508, 65: 0.008206683196610675, 66: 0.012042218700155849, 67: 0.008804074038763807, 68: 0.009844122772204965, 69: 0.009531372791848215, 70: 0.006720663227512544, 71: 0.007972284332074822, 72: 0.012311502027456902, 73: 0.009210390933799474, 74: 0.006022372460728625}"
0.6,0.2,0.2,3,33,8.01126444135813,0.3479480834578363,"{0: 0.009912137460485568, 1: 0.008757423538849807, 2: 0.010253233480469581, 3: 0.013026181670420188, 4: 0.008996103496506395, 5: 0.009406123693996378, 6: 0.011138306162480216, 7: 0.011717266234792424, 8: 0.007347265556371115, 9: 0.006389757215704032, 10: 0.00804726727369757, 11: 0.007390744356900683, 12: 0.006327523591826573, 13: 0.00941848737477263, 14: 0.0073720152487275785, 15: 0.007784364497700518, 16: 0.0061499449895904374, 17: 0.008188559633966563, 18: 0.006846633015045586, 19: 0.008672131607264565, 20: 0.010755652410567803, 21: 0.00762228107111266, 22: 0.007367825594054442, 23: 0.00575013027168547, 24: 0.006242120927858236, 25: 0.00701263474228825, 26: 0.00837827041997066, 27: 0.0047723541428215084, 28: 0.013001444744998331, 29: 0.00989393648035872, 30: 0.007143249321935865, 31: 0.008212161359824532, 32: 0.006697823800966427, 33: 0.011830199289909202, 34: 0.01114175275134179, 35: 0.007113063151540185, 36: 0.009364214833594366, 37: 0.010856296528133757, 38: 0.00952793773099978, 39: 0.00920804949310187, 40: 0.00806426789001326, 41: 0.010671360394366034, 42: 0.009029928681419417, 43: 0.009943576799942636, 44: 0.007137273097184459, 45: 0.010946467936798314, 46: 0.006506919767395191, 47: 0.007572883504591805, 48: 0.009125699078358222, 49: 0.004208499393833802, 50: 0.009562444987505423, 51: 0.01230835602813846, 52: 0.006627761326592915, 53: 0.007793110074536344, 54: 0.007654049329109763, 55: 0.011499912240242617, 56: 0.01469699712548222, 57: 0.011202387637722048, 58: 0.007997031350173978, 59: 0.0099328913440517, 60: 0.011658628837315383, 61: 0.007103602278864164, 62: 0.0121854952989119, 63: 0.011181336065502062, 64: 0.010413086999509241, 65: 0.0076917862876767, 66: 0.011747734426018067, 67: 0.008640106409042751, 68: 0.010003924120563926, 69: 0.009441602990152547, 70: 0.006829479165297054, 71: 0.008345479900677322, 72: 0.012771209487567265, 73: 0.009568952090104386, 74: 0.0057655319540895695}"
0.6,0.2,0.2,3,33,8.269149725140807,0.3476576239446811,"{0: 0.010156764074975198, 1: 0.009091168327671149, 2: 0.01002404175752282, 3: 0.012935546572734324, 4: 0.008997150853516689, 5: 0.00936594420176209, 6: 0.010914740699188723, 7: 0.011867429665576324, 8: 0.007063469639013555, 9: 0.006485015379052445, 10: 0.008170397800736237, 11: 0.007201015666970543, 12: 0.006065223596448414, 13: 0.009581152550532084, 14: 0.0074911416420280225, 15: 0.007160403715601136, 16: 0.005941819373527672, 17: 0.008488355149314054, 18: 0.006901344799209424, 19: 0.009203808166338383, 20: 0.010408042655222348, 21: 0.00794409971484911, 22: 0.007139971332155054, 23: 0.005736814963245261, 24: 0.005759430311203076, 25: 0.007481448139183836, 26: 0.008294249893766413, 27: 0.0049236085950429215, 28: 0.013696515826854265, 29: 0.009565029921597206, 30: 0.007182700388784194, 31: 0.00781528253828818, 32: 0.0072302598642244075, 33: 0.011860959624859705, 34: 0.01073612486283719, 35: 0.007423868886399104, 36: 0.009273059615525369, 37: 0.010969001455504277, 38: 0.009493755268332222, 39: 0.009411597158373952, 40: 0.007805447949485018, 41: 0.010767954764731557, 42: 0.008135663851820176, 43: 0.010108728581734222, 44: 0.006764453918966408, 45: 0.010624132798790332, 46: 0.006531530760982818, 47: 0.006922658690386329, 48: 0.008817223105095787, 49: 0.004700813861772765, 50: 0.009235578328044081, 51: 0.012754764467093234, 52: 0.0064124874811820835, 53: 0.007986146322165662, 54: 0.008248172697205737, 55: 0.012053286680603363, 56: 0.014145113107643329, 57: 0.010971532632491537, 58: 0.007616928326033888, 59: 0.009972599260471946, 60: 0.01225637979767714, 61: 0.007504738638904632, 62: 0.012472352273923588, 63: 0.011556808348710042, 64: 0.010868786896184155, 65: 0.007334250399318891, 66: 0.0120302519275122, 67: 0.009111451783691913, 68: 0.009957990246064379, 69: 0.009317139444053223, 70: 0.00637995920530167, 71: 0.008677662605946249, 72: 0.012166630468403236, 73: 0.009473070839912097, 74: 0.0057281983551121345}"
