w_sim,w_prox,w_pop,run,max IN degrees,avg degrees,avg clustering coeff,betweenness centrality
0.1,0.5,0.4,1,34,6.751424661677995,0.319912954308442,"{0: 0.012245422338089541, 1: 0.009840836200626693, 2: 0.011900766685214713, 3: 0.012003628185135035, 4: 0.009401385922336768, 5: 0.00683272189114252, 6: 0.01202437528485071, 7: 0.009638246614475465, 8: 0.009324927818078504, 9: 0.006218204848341834, 10: 0.00820041316616659, 11: 0.011322310294913037, 12: 0.008959372315536698, 13: 0.007985788636473569, 14: 0.0082243520599685, 15: 0.011912169265110443, 16: 0.0069307035060459715, 17: 0.0107896415259429, 18: 0.011376680212296651, 19: 0.005496647619935291, 20: 0.00875220669741218, 21: 0.011138282713625177, 22: 0.008244089665322541, 23: 0.01005485320553814, 24: 0.006498433381995027, 25: 0.010881400264961908, 26: 0.007775214110830547, 27: 0.008859863729928193, 28: 0.010907335393636763, 29: 0.008869856719373239, 30: 0.008760519376957732, 31: 0.006360766453433657, 32: 0.011232937431567568, 33: 0.011565275863221071, 34: 0.008140037229481227, 35: 0.008579406010912862, 36: 0.013184696232641442, 37: 0.007228552434031889, 38: 0.007060986674201823, 39: 0.005846643175410299, 40: 0.010223648912206527, 41: 0.006833659392080021, 42: 0.010499721801091664, 43: 0.008941286328474081, 44: 0.00935025935025935, 45: 0.009884234788545826, 46: 0.008016519917204848, 47: 0.01430536849050145, 48: 0.007523229602198178, 49: 0.00869511014051707, 50: 0.010754017774565718, 51: 0.010669983786422142, 52: 0.007306922375415528, 53: 0.007800846670709683, 54: 0.007786198025924052, 55: 0.009756426698408972, 56: 0.01020966191191816, 57: 0.005222830565296319, 58: 0.009479649890608796, 59: 0.00904472666156792, 60: 0.01135196801997769, 61: 0.007536432697593054, 62: 0.009696261922289322, 63: 0.009020945322315187, 64: 0.00808107579360601, 65: 0.011112191934109745, 66: 0.009710609796226235, 67: 0.008076336843460132, 68: 0.006814109211369486, 69: 0.009225861451888851, 70: 0.00795881359942601, 71: 0.011650757531095969, 72: 0.011396737746455717, 73: 0.009942816525209758, 74: 0.009738165388850322}"
0.1,0.5,0.4,1,34,6.346007005104915,0.31924287820462804,"{0: 0.012370126401149774, 1: 0.01022107597450063, 2: 0.01247154705051562, 3: 0.012156030392331763, 4: 0.009232533195063414, 5: 0.00703589555322029, 6: 0.011867328209995413, 7: 0.009263021239250087, 8: 0.008819789984173548, 9: 0.006300202533079246, 10: 0.008287929520806233, 11: 0.011340023155091649, 12: 0.008959081048122144, 13: 0.008002975468728891, 14: 0.008157547541109185, 15: 0.01197366899421694, 16: 0.007534462842682019, 17: 0.01032592890469603, 18: 0.011165374692771953, 19: 0.005314908054634083, 20: 0.008812198538225935, 21: 0.011487285288655155, 22: 0.0076958046992293555, 23: 0.010032786745115515, 24: 0.006565193209028827, 25: 0.01047290670578342, 26: 0.007851751173668983, 27: 0.008897573024285352, 28: 0.011293358211166433, 29: 0.008857320073073495, 30: 0.0082840819142189, 31: 0.005600103364003445, 32: 0.011336596781802261, 33: 0.011029379265680636, 34: 0.008295983114677717, 35: 0.008747528953008404, 36: 0.013423279690402978, 37: 0.006496627215805297, 38: 0.007450848879132522, 39: 0.0060064210749142255, 40: 0.009950982543649749, 41: 0.0069457024936477, 42: 0.010008073706703846, 43: 0.009006933483162331, 44: 0.00880809048617268, 45: 0.009345769362892649, 46: 0.008285775837145699, 47: 0.014277327376642446, 48: 0.007593489261498932, 49: 0.00844714877249124, 50: 0.01064554044006099, 51: 0.011164291301277602, 52: 0.008265364258514941, 53: 0.007770295441528317, 54: 0.0078067146560297255, 55: 0.009801853295003982, 56: 0.010694911369770356, 57: 0.005261522384810056, 58: 0.009649657594863073, 59: 0.009747500148386531, 60: 0.011857337199802954, 61: 0.007400854318662538, 62: 0.010219309876844124, 63: 0.008729525339114379, 64: 0.008864849875123848, 65: 0.01090283538913676, 66: 0.009296888834560068, 67: 0.00809804320078293, 68: 0.006934352824763785, 69: 0.009036866913579243, 70: 0.007934520253214856, 71: 0.011595582828459539, 72: 0.011035571470704428, 73: 0.010277204359597591, 74: 0.009645522316755195}"
0.1,0.5,0.4,1,33,6.03408259479667,0.31709762773449784,"{0: 0.012653730459187818, 1: 0.010195703678781842, 2: 0.012406362663211979, 3: 0.01213540383060931, 4: 0.009292076500980611, 5: 0.007078492951780623, 6: 0.011710047077921582, 7: 0.008211045197346568, 8: 0.008989748837296339, 9: 0.006175187947172037, 10: 0.00805861859772598, 11: 0.011097487809816575, 12: 0.009260298384248895, 13: 0.008225064577251938, 14: 0.008446430115674482, 15: 0.012672982354690655, 16: 0.007751831950903981, 17: 0.010647992019512125, 18: 0.011396044051810736, 19: 0.00564863629932123, 20: 0.008910822609452747, 21: 0.011697250269811417, 22: 0.008025993639670177, 23: 0.009637998165395425, 24: 0.0067701571126228665, 25: 0.010285851912011878, 26: 0.007740294384129999, 27: 0.009618692399715769, 28: 0.010987945842121717, 29: 0.009282549139356866, 30: 0.008410471424170056, 31: 0.005648610357514467, 32: 0.011218323088627991, 33: 0.011131731201881443, 34: 0.00845632685378858, 35: 0.00814544570068211, 36: 0.013829442546853062, 37: 0.006414864888130465, 38: 0.0067134521923518835, 39: 0.006031069900932915, 40: 0.010180991790028465, 41: 0.006661338318300705, 42: 0.010115893390307884, 43: 0.009193307566595237, 44: 0.009059847128782168, 45: 0.009375199403240005, 46: 0.008936811751106933, 47: 0.01343010639672411, 48: 0.007364307963623031, 49: 0.008286552882644745, 50: 0.010523456756333472, 51: 0.011717680382063946, 52: 0.007957108299574054, 53: 0.0078540248060796, 54: 0.008170964849047042, 55: 0.009930547541995126, 56: 0.010822831627626152, 57: 0.004928091008515224, 58: 0.00927689386593496, 59: 0.010433773180549973, 60: 0.012700187679067875, 61: 0.0076190601774808065, 62: 0.01039611993544826, 63: 0.008879206299665866, 64: 0.00915600147635317, 65: 0.011139305438907735, 66: 0.00965029175645614, 67: 0.006911202724282707, 68: 0.006426795981590503, 69: 0.008140832284667903, 70: 0.008074904724816348, 71: 0.011638984574117535, 72: 0.011165305418931525, 73: 0.010168847155148526, 74: 0.00985195052804421}"
0.1,0.5,0.4,1,34,6.398919548995829,0.31573945881101173,"{0: 0.012858695307325444, 1: 0.010416639516156038, 2: 0.012884354579560057, 3: 0.011908193671892301, 4: 0.008658871929419873, 5: 0.00786466017630401, 6: 0.012116528726117766, 7: 0.008401942477284942, 8: 0.008961140467989785, 9: 0.006590638782419602, 10: 0.007612588263273194, 11: 0.011188287729383623, 12: 0.009040467944577534, 13: 0.008458186882844417, 14: 0.008488044618181605, 15: 0.01221805501620167, 16: 0.007953241172419256, 17: 0.010374235117385805, 18: 0.01134441785126717, 19: 0.0057054632397098145, 20: 0.008447506563944919, 21: 0.011730667542512827, 22: 0.007605150156520021, 23: 0.00957243988065906, 24: 0.006977192764863999, 25: 0.010318421448558435, 26: 0.007292852155865856, 27: 0.009236020441701345, 28: 0.010637412178508068, 29: 0.009083190836816945, 30: 0.00799291569839515, 31: 0.005763057389769719, 32: 0.011609683869957844, 33: 0.012274676401388735, 34: 0.008833178086804196, 35: 0.008061666623310459, 36: 0.013251734484611196, 37: 0.006752144765843397, 38: 0.00707314277519757, 39: 0.005825078085352059, 40: 0.010209094198820228, 41: 0.007021429271630723, 42: 0.010364019953061047, 43: 0.009300059385675826, 44: 0.00915934409085094, 45: 0.009477345511793538, 46: 0.007652584108063562, 47: 0.013497811861027012, 48: 0.006815616661507073, 49: 0.00844249396324336, 50: 0.011242175283271176, 51: 0.011682355860438053, 52: 0.007178948617304783, 53: 0.007861406662776526, 54: 0.008174293619499097, 55: 0.0097738385308893, 56: 0.011037312835258042, 57: 0.004896249416797362, 58: 0.00898668467161618, 59: 0.010029550002354191, 60: 0.012938688281154034, 61: 0.007766721968978216, 62: 0.010564523406989162, 63: 0.009042478049327366, 64: 0.009244076785374129, 65: 0.011690711690711692, 66: 0.010146565197935062, 67: 0.006110650117499433, 68: 0.006665894165894167, 69: 0.008567346228506583, 70: 0.0081675161298449, 71: 0.0117509673915798, 72: 0.011802233281886789, 73: 0.009827325067051097, 74: 0.009973922473922476}"
0.1,0.5,0.4,1,34,7.055751661855442,0.3158007381238096,"{0: 0.01270681501845885, 1: 0.011473128586343737, 2: 0.01346289077453461, 3: 0.011209206842768486, 4: 0.008616848770958358, 5: 0.008286895701279263, 6: 0.01202328205752863, 7: 0.008381779272190231, 8: 0.008999109512808143, 9: 0.006979230095668452, 10: 0.007597551775633967, 11: 0.011105883708623435, 12: 0.009011585210215348, 13: 0.008883296554529432, 14: 0.0079394488641064, 15: 0.012480771032342347, 16: 0.007967079713655059, 17: 0.010478122036341214, 18: 0.011522157241335323, 19: 0.005661959600315764, 20: 0.007877796233960616, 21: 0.012127196534932232, 22: 0.007530840493169259, 23: 0.009520745308416541, 24: 0.006707760646116813, 25: 0.010679289446412731, 26: 0.007368443498580486, 27: 0.009177012334748033, 28: 0.010605365571118996, 29: 0.009289546351391639, 30: 0.007899785125812521, 31: 0.00537241590323782, 32: 0.01155438929411532, 33: 0.012541271873463657, 34: 0.009391855186577187, 35: 0.008143443417416019, 36: 0.013303979228636766, 37: 0.006800135567258856, 38: 0.006734244662326855, 39: 0.005478965581705308, 40: 0.009432459175609862, 41: 0.007101584317539194, 42: 0.010202356777699245, 43: 0.009341670043724838, 44: 0.009160873373202141, 45: 0.009365105844759351, 46: 0.007376883832363286, 47: 0.013385637433784094, 48: 0.0067743373394058325, 49: 0.008669496073807114, 50: 0.01077464690478389, 51: 0.01146409999149725, 52: 0.007156382841314348, 53: 0.00786172053295341, 54: 0.008686821529287283, 55: 0.009532911577633578, 56: 0.01103842807609931, 57: 0.004864172501158802, 58: 0.008947344050083775, 59: 0.01007041374184807, 60: 0.012950238806403192, 61: 0.007353426350203143, 62: 0.010858380378928325, 63: 0.008984808128643747, 64: 0.009337680988567371, 65: 0.0118704637540254, 66: 0.010628917906315167, 67: 0.006176167306304293, 68: 0.006636561431081981, 69: 0.00826450157634686, 70: 0.007736561075602171, 71: 0.011734252135138517, 72: 0.011842023390170047, 73: 0.009890802870254928, 74: 0.010266480300726875}"
0.1,0.5,0.4,1,34,6.638748706490769,0.3154328155767574,"{0: 0.013376700277385209, 1: 0.011473400514496407, 2: 0.01302671396849479, 3: 0.010178285606367798, 4: 0.00853747711624424, 5: 0.008473703936032704, 6: 0.010428768134247588, 7: 0.007695355983027215, 8: 0.00925972116040609, 9: 0.007380261661083578, 10: 0.007900262352317148, 11: 0.011185746973418209, 12: 0.009552557925845596, 13: 0.008872134385833017, 14: 0.007980770566387005, 15: 0.012719464089327105, 16: 0.008016880020304679, 17: 0.010685899726995615, 18: 0.012064565232373455, 19: 0.005703675566689265, 20: 0.007926842173417518, 21: 0.01279240756980483, 22: 0.007178763685613, 23: 0.009713031630839851, 24: 0.006570111878331056, 25: 0.010764832682640904, 26: 0.00757934576427727, 27: 0.009209704843266485, 28: 0.010609606157551365, 29: 0.009396936109264878, 30: 0.0074358562372261, 31: 0.005329972025177505, 32: 0.011676245409122122, 33: 0.01264700297234544, 34: 0.009242769602358645, 35: 0.008242648996073652, 36: 0.013557546776724858, 37: 0.006569119668434739, 38: 0.006401434141160168, 39: 0.005701895599155874, 40: 0.00942005488238365, 41: 0.006775759772335115, 42: 0.01030007519733547, 43: 0.00978140010674257, 44: 0.009174745561731862, 45: 0.009484858543077722, 46: 0.007527249736153847, 47: 0.013880238452156263, 48: 0.006831659999468219, 49: 0.008823579799607196, 50: 0.011268302535425824, 51: 0.011770601667861943, 52: 0.0070984237080127495, 53: 0.007614031757867374, 54: 0.008717233032301526, 55: 0.009649187303296891, 56: 0.011325726137369973, 57: 0.004972291016811565, 58: 0.008614839436757244, 59: 0.009556853478086354, 60: 0.013506437564656743, 61: 0.0074342920233331205, 62: 0.011145237686333579, 63: 0.008625271125271125, 64: 0.009061147674161373, 65: 0.011661676387703785, 66: 0.010637091887091887, 67: 0.006173665077774668, 68: 0.006176314224259432, 69: 0.008288928151941849, 70: 0.00775816186775091, 71: 0.011761357138069469, 72: 0.011415619377948147, 73: 0.010468833585271944, 74: 0.009796155087250976}"
0.1,0.5,0.4,1,34,7.221359173675169,0.31486746794120163,"{0: 0.013239900140585077, 1: 0.011307342805179863, 2: 0.013365096841124241, 3: 0.010187107361764897, 4: 0.008526380701038236, 5: 0.007705795633877826, 6: 0.009845311891094156, 7: 0.007746688045894968, 8: 0.009273820660806965, 9: 0.007384161664983582, 10: 0.008297343571316174, 11: 0.011568302997646905, 12: 0.009283615876081631, 13: 0.008379300160122078, 14: 0.007407582655419716, 15: 0.012649377546637822, 16: 0.008778971450204327, 17: 0.010883508134769852, 18: 0.012137725750739448, 19: 0.00580055922521676, 20: 0.007409753128931212, 21: 0.012995074210827632, 22: 0.007168263675112989, 23: 0.009748601186957351, 24: 0.006606762933367115, 25: 0.010959479101151777, 26: 0.008021396720026856, 27: 0.009404214969283464, 28: 0.010576484540075025, 29: 0.009084366104914051, 30: 0.007554398992755157, 31: 0.004964215152571317, 32: 0.011847618525700716, 33: 0.014405893429866031, 34: 0.00922973140438894, 35: 0.008226942131051717, 36: 0.013116037773572023, 37: 0.006735310588050313, 38: 0.0065693105076666735, 39: 0.005937634704757991, 40: 0.009445335558349255, 41: 0.0066851444329814914, 42: 0.010347462915956066, 43: 0.009324959410575852, 44: 0.008935575202698493, 45: 0.009872261156507732, 46: 0.007418784216729423, 47: 0.014034204359546826, 48: 0.006891912285747903, 49: 0.009391662730703828, 50: 0.010797552749607546, 51: 0.011730219778164984, 52: 0.006964821862082137, 53: 0.007706851028768836, 54: 0.008804920097277702, 55: 0.009714433934873732, 56: 0.011418557737050888, 57: 0.005344049693364762, 58: 0.008243472969500367, 59: 0.010203343336904983, 60: 0.013677356571192187, 61: 0.0073997108243683595, 62: 0.010806974505604644, 63: 0.008506240869254568, 64: 0.008434898237529817, 65: 0.011284257165655868, 66: 0.010997206964222107, 67: 0.006337389727800687, 68: 0.0059204850210618064, 69: 0.008096952779721344, 70: 0.007421030109386274, 71: 0.012262529728283154, 72: 0.01182000350619673, 73: 0.010104851029508562, 74: 0.00980650782831749}"
0.1,0.5,0.4,1,33,7.510221273394027,0.3157511453857924,"{0: 0.012988942174455226, 1: 0.010490898572189126, 2: 0.014821666105912686, 3: 0.010885892563974757, 4: 0.008381152302385179, 5: 0.007644023311831531, 6: 0.009817861858797912, 7: 0.007767189778725469, 8: 0.009186315922552677, 9: 0.0077668431215859495, 10: 0.008251232133372222, 11: 0.011409171237037134, 12: 0.009248618634118766, 13: 0.008400954498137235, 14: 0.007431758039830301, 15: 0.012489603148399113, 16: 0.009086057066801443, 17: 0.010010700276952946, 18: 0.012422370163388517, 19: 0.005818158044185441, 20: 0.007223955340393696, 21: 0.013000064116988794, 22: 0.007573694933154741, 23: 0.009696145312583667, 24: 0.0063640411153028315, 25: 0.011258440885639537, 26: 0.008350343966782322, 27: 0.009369552768074758, 28: 0.0108743455351446, 29: 0.009037273726826993, 30: 0.007643021855350621, 31: 0.004720251209977237, 32: 0.011236484902160787, 33: 0.01504177950126516, 34: 0.009289572123025622, 35: 0.008290503017822737, 36: 0.013019706719629178, 37: 0.006579886022248391, 38: 0.006168062931761562, 39: 0.005868819567449704, 40: 0.010153003573461055, 41: 0.007562024788443283, 42: 0.009884926016355327, 43: 0.009416349056760016, 44: 0.009734944873223496, 45: 0.009725583639096584, 46: 0.007200902320765336, 47: 0.013878923534876386, 48: 0.006697566543456956, 49: 0.009234080029862295, 50: 0.01070842286595711, 51: 0.012227205206657264, 52: 0.006300794314492945, 53: 0.007587998512656047, 54: 0.008830432965256324, 55: 0.009700853171133129, 56: 0.011162997036284705, 57: 0.00518435089383655, 58: 0.0084884992419239, 59: 0.009432578002332869, 60: 0.013675184294887469, 61: 0.007301030408456507, 62: 0.010734203875196378, 63: 0.008492600102189144, 64: 0.009284468548558274, 65: 0.010965915615729929, 66: 0.010992219716084172, 67: 0.005525021021596364, 68: 0.0058238610374515215, 69: 0.0079425650307049, 70: 0.006804887793192264, 71: 0.012865061486186213, 72: 0.011808537646677518, 73: 0.010145765111518533, 74: 0.010267307063024712}"
0.1,0.5,0.4,1,33,6.8571790353475155,0.31351378976600863,"{0: 0.013265024395161381, 1: 0.009769190410863085, 2: 0.014951017348277622, 3: 0.010793934252838363, 4: 0.008533984989464444, 5: 0.007424228657105369, 6: 0.00973230244589293, 7: 0.008347729914060123, 8: 0.009398081658355631, 9: 0.007767378400940047, 10: 0.008391786131512159, 11: 0.011554547418822834, 12: 0.009375483005619991, 13: 0.008379828499691513, 14: 0.007116665326831152, 15: 0.012340857803186568, 16: 0.009246110444740581, 17: 0.00979450678891919, 18: 0.012241698714301455, 19: 0.005922891025630753, 20: 0.007717998300190081, 21: 0.013051704661293703, 22: 0.007616632359783044, 23: 0.009651882939554173, 24: 0.006459878368674331, 25: 0.011292777893354679, 26: 0.008217820375354623, 27: 0.009436182210154815, 28: 0.011120036282256903, 29: 0.009288209630675386, 30: 0.007812440860386067, 31: 0.0047189168764511236, 32: 0.01131057124207809, 33: 0.013571984291162374, 34: 0.009472155790648942, 35: 0.008778448504475901, 36: 0.01279858454515989, 37: 0.006678795206192465, 38: 0.006413722338379873, 39: 0.006461849783767592, 40: 0.009489798017195279, 41: 0.007879620028142017, 42: 0.009635004840484296, 43: 0.010034834863601986, 44: 0.009951546252916112, 45: 0.009507151031123633, 46: 0.0072685534158136895, 47: 0.014101167868291156, 48: 0.0065157368239560035, 49: 0.00894759499211554, 50: 0.01087417611390214, 51: 0.012662078244270023, 52: 0.006394708791969065, 53: 0.008218098800290582, 54: 0.008795302108207658, 55: 0.009664363422474455, 56: 0.011058207804783147, 57: 0.004319515792118532, 58: 0.008828229547407631, 59: 0.00952533033012485, 60: 0.013486573075614173, 61: 0.007066711261916742, 62: 0.011358870262979852, 63: 0.008603694733831721, 64: 0.009218803387873321, 65: 0.011222039980151012, 66: 0.010548113963759242, 67: 0.005558023366242544, 68: 0.005899750068820004, 69: 0.00755295566038176, 70: 0.006873265777375366, 71: 0.01294093211901431, 72: 0.01233261540579493, 73: 0.010193926974748893, 74: 0.009772450859329014}"
0.1,0.5,0.4,1,33,7.2227906128495984,0.31379648247744335,"{0: 0.01356108461303602, 1: 0.00979276868786602, 2: 0.015559242271571039, 3: 0.011281586281586282, 4: 0.008398241531803177, 5: 0.006996739530986107, 6: 0.009673577639171224, 7: 0.00904976862979747, 8: 0.0093778219359765, 9: 0.007868856836613362, 10: 0.008392347856679727, 11: 0.011503030586484084, 12: 0.009251330451899076, 13: 0.007893675309351197, 14: 0.006980548535893993, 15: 0.011814769777098545, 16: 0.009673446352820868, 17: 0.009247692407780695, 18: 0.012215436737277006, 19: 0.005989696571888352, 20: 0.007187124139178936, 21: 0.012623533526867722, 22: 0.007244448393647154, 23: 0.009029776837996014, 24: 0.006872152753551458, 25: 0.011364873697551802, 26: 0.008302398884590669, 27: 0.009112320071224181, 28: 0.010791412404266263, 29: 0.010063115406873482, 30: 0.007172884912610939, 31: 0.004978919020014911, 32: 0.011291015607376423, 33: 0.01367580955652809, 34: 0.010417900058311017, 35: 0.008434280730093602, 36: 0.01260547514101404, 37: 0.006688687181062473, 38: 0.006522584433543337, 39: 0.006225659136618041, 40: 0.009921128769668447, 41: 0.007788758328983601, 42: 0.00958865054884698, 43: 0.009773873130037511, 44: 0.010111058754118976, 45: 0.00950363667958654, 46: 0.007613679617104276, 47: 0.014420927402317941, 48: 0.006459264849675809, 49: 0.008849362359636332, 50: 0.009927207701180303, 51: 0.013314267081390368, 52: 0.006341375519457713, 53: 0.008806168737675587, 54: 0.008731076359050405, 55: 0.011262905832596086, 56: 0.010339899209762225, 57: 0.0046091796221028585, 58: 0.008432488055775726, 59: 0.009013938209143688, 60: 0.01340019481658148, 61: 0.0070585480688220405, 62: 0.012025188385358968, 63: 0.0077555486802062135, 64: 0.009065521592048232, 65: 0.011140516304029246, 66: 0.010140681707011915, 67: 0.0058069938206924505, 68: 0.005809382170232927, 69: 0.007173771719553982, 70: 0.006449354817796276, 71: 0.013469256277475453, 72: 0.012366088555706437, 73: 0.01094486728048372, 74: 0.009976790676617915}"
