prob,social,Run,max IN degree,avg clustering coeff,modularity
0.0114501953125,0.188232421875,0,1,0.0,0.8
0.45327636718750003,0.188232421875,1,37,0.2376015521575855,0.10866777411670211
0.0114501953125,0.243408203125,2,1,0.0,0.0
0.45327636718750003,0.243408203125,3,39,0.23271383177382177,0.11306799416991956
0.5064501953125,0.438232421875,4,36,0.23052538478600273,0.11397216455209534
0.9482763671875,0.438232421875,5,69,0.24912712605835224,0.11491893491124264
0.5064501953125,0.493408203125,6,43,0.24597645991531053,0.11308366185588489
0.9482763671875,0.493408203125,7,72,0.2504637224899216,0.10847100142925428
0.7539501953125,0.063232421875,8,62,0.2426571181758887,0.11486451067228406
0.2057763671875,0.063232421875,9,25,0.2308304334406311,0.11402771485259883
0.7539501953125,0.118408203125,10,57,0.2289979110624788,0.12211149686444352
0.2057763671875,0.118408203125,11,26,0.2232596407911881,0.11449952350450716
0.2589501953125,0.313232421875,12,27,0.23401013683121155,0.11791176178924125
0.7007763671875,0.313232421875,13,54,0.24269412045767264,0.10563002619325298
0.2589501953125,0.368408203125,14,25,0.2321427082932227,0.10936512335113731
0.7007763671875,0.368408203125,15,57,0.2434630060887222,0.10692788687186788
0.3827001953125,0.000732421875,16,34,0.27431689503852136,0.10199897776112422
0.8245263671875,0.000732421875,17,60,0.3495384275547953,0.07952044803978423
0.3827001953125,0.305908203125,18,30,0.2332637748011235,0.11161078268403747
0.8245263671875,0.305908203125,19,65,0.24696306762811437,0.11131628799189701
0.8777001953125,0.250732421875,20,65,0.24973492738583522,0.11269141676652525
0.3295263671875,0.250732421875,21,26,0.2295765200626019,0.11055533510809067
0.8777001953125,0.055908203125,22,66,0.25063925122294645,0.10269695330809449
0.3295263671875,0.055908203125,23,26,0.23031611128764107,0.11534239840732478
0.6302001953125,0.125732421875,24,52,0.23829762489889855,0.10744459592592226
0.5770263671875,0.125732421875,25,46,0.23424857553736309,0.11227570366390731
0.6302001953125,0.430908203125,26,54,0.24406278936662973,0.11743558837907009
0.5770263671875,0.430908203125,27,43,0.23721271421461287,0.10945749367935753
0.13520019531250002,0.375732421875,28,26,0.23146525807609308,0.11021090534979423
0.08202636718749999,0.375732421875,29,29,0.23441617123437883,0.10742068016978422
0.13520019531250002,0.180908203125,30,27,0.22572796946891538,0.11146801394007372
0.08202636718749999,0.180908203125,31,26,0.21658485557500232,0.12280560592040618
0.1970751953125,0.094482421875,32,27,0.22570659185611763,0.11342185959072977
0.5151513671875,0.094482421875,33,45,0.2313214293232976,0.11359919725205427
0.1970751953125,0.024658203125,34,28,0.24957979676666517,0.1020781122973454
0.5151513671875,0.024658203125,35,37,0.23810086935617567,0.10349345730027548
0.6920751953125001,0.344482421875,36,53,0.23818397048377393,0.11056945800781248
0.020151367187499998,0.344482421875,37,3,0.0,0.375
0.6920751953125001,0.274658203125,38,55,0.2391088704899235,0.11624889740700847
0.020151367187499998,0.274658203125,39,14,0.07298547985105679,0.21123353937113679
0.9395751953125,0.219482421875,40,68,0.2501705236729818,0.10674611898473815
0.7626513671875,0.219482421875,41,54,0.24215235825482276,0.10674197364606422
0.9395751953125,0.149658203125,42,69,0.2520458774540387,0.11016173849144399
0.7626513671875,0.149658203125,43,52,0.23518364349481957,0.1188460227240973
0.4445751953125,0.469482421875,44,26,0.22178304318622064,0.11352669043411658
0.2676513671875,0.469482421875,45,27,0.22879483149314112,0.10865936273861682
0.4445751953125,0.399658203125,46,32,0.24005936463026326,0.11508093757678085
0.2676513671875,0.399658203125,47,29,0.23177023764842947,0.10756745900157198
0.32082519531250003,0.156982421875,48,30,0.2337272008991006,0.10401709975174689
0.14390136718750002,0.156982421875,49,24,0.22763624101589136,0.1094928271804406
0.32082519531250003,0.462158203125,50,30,0.2488441410724359,0.10646010972761571
0.14390136718750002,0.462158203125,51,24,0.22598119812589393,0.11894636488648305
0.8158251953125,0.406982421875,52,63,0.2432185932119662,0.10168968845008695
0.6389013671875,0.406982421875,53,54,0.2370308254575065,0.12066777475797938
0.8158251953125,0.212158203125,54,59,0.2427584087817194,0.11422833151791913
0.6389013671875,0.212158203125,55,46,0.24232487403238398,0.10883479186036484
0.5683251953125,0.031982421875,56,42,0.2401550691749989,0.11635740901050098
0.3914013671875,0.031982421875,57,27,0.231956767077617,0.11573363090529862
0.5683251953125,0.337158203125,58,45,0.2341122424861436,0.11286886986278052
0.3914013671875,0.337158203125,59,25,0.2282094219544304,0.10453997072900598
0.0733251953125,0.281982421875,60,27,0.22681802261690048,0.11072806181805707
0.8864013671875,0.281982421875,61,66,0.25242726311875785,0.10351124915512451
0.0733251953125,0.087158203125,62,24,0.2203937803535114,0.10298309037900873
0.8864013671875,0.087158203125,63,66,0.24241710596196497,0.11410156249999999
0.1042626953125,0.047607421875,64,29,0.2272619969507729,0.10912384993221051
0.051088867187500005,0.047607421875,65,30,0.2513594251938111,0.10633271769195757
0.1042626953125,0.415283203125,66,28,0.2346851948641438,0.11553947218282881
0.051088867187500005,0.415283203125,67,25,0.21747833272320274,0.12226988483544429
0.5992626953125,0.297607421875,68,41,0.2400206633652632,0.11016159466091612
0.5460888671875,0.297607421875,69,40,0.23706278618270904,0.10805277736466387
0.5992626953125,0.165283203125,70,43,0.23447739814461688,0.10058193667127893
0.5460888671875,0.165283203125,71,39,0.240404214933597,0.12207000790321029
0.8467626953125,0.172607421875,72,63,0.24034110705397818,0.11035848483662981
0.2985888671875,0.172607421875,73,28,0.2310901605947356,0.12401999231064977
0.8467626953125,0.290283203125,74,61,0.23835510098061452,0.10686157226562498
