avg utility,avg IN degrees,avg OUT degrees,avg clustering coeff
1.0000000000000002,24.888,24.888,0.10041207917418583
0.9999999999999999,25.1,25.1,0.10163228723332943
0.9999999999999997,25.32,25.32,0.10269401534345034
1.0000000000000004,25.464,25.464,0.10351449332160041
0.9999999999999999,25.72,25.72,0.10466518241743995
0.9999999999999999,25.864,25.864,0.10505485074571812
0.9999999999999999,26.168,26.168,0.10641315715311714
1.0000000000000007,26.428,26.428,0.1074876957352338
1.0000000000000002,26.632,26.632,0.10864581561994419
0.9999999999999998,26.86,26.86,0.10938485449278529
1.000000000000001,27.008,27.008,0.11013269768343473
1.0000000000000002,27.176,27.176,0.1108171246717026
1.0000000000000004,27.42,27.42,0.11182032426156047
0.9999999999999996,27.624,27.624,0.11262808614158892
0.9999999999999996,27.836,27.836,0.11367189036906811
1.0000000000000002,28.032,28.032,0.11471041052881335
0.9999999999999997,28.228,28.228,0.11559187605476452
1.0000000000000004,28.38,28.38,0.11642829730641414
1.0000000000000002,28.576,28.576,0.11754089179596683
1.0000000000000004,28.788,28.788,0.1186539799232395
1.0000000000000004,29.0,29.0,0.11944582205658087
1.0000000000000007,29.288,29.288,0.1208990974143445
1.0000000000000004,29.488,29.488,0.12182005999513355
1.0000000000000002,29.66,29.66,0.12253251315966347
1.0000000000000007,29.868,29.868,0.1233765047488907
1.0000000000000002,30.032,30.032,0.12427831776621208
0.9999999999999994,30.172,30.172,0.12492661117280561
1.0000000000000002,30.28,30.28,0.1256809290950629
0.9999999999999993,30.452,30.452,0.12664887967925006
1.0000000000000007,30.612,30.612,0.127362835718477
1.0000000000000004,30.752,30.752,0.12824274728444918
1.0000000000000002,30.94,30.94,0.12926003256811464
1.0,31.096,31.096,0.13024967355782652
1.0000000000000004,31.296,31.296,0.13144853937627551
1.0,31.444,31.444,0.13216601547311904
1.0000000000000007,31.656,31.656,0.13318189434488253
1.0000000000000004,31.78,31.78,0.13402015126658592
0.9999999999999999,31.952,31.952,0.13497645671574235
0.9999999999999994,32.144,32.144,0.13611053987958696
0.9999999999999999,32.268,32.268,0.1369448598249387
0.9999999999999993,32.436,32.436,0.13797529664445424
0.9999999999999999,32.652,32.652,0.1393240602031089
0.9999999999999997,32.804,32.804,0.14017930651102506
1.0000000000000002,32.944,32.944,0.14108845990506452
1.0,33.088,33.088,0.14202064453633803
0.9999999999999996,33.292,33.292,0.14330204320379805
1.0000000000000002,33.416,33.416,0.14417518746742025
0.9999999999999998,33.54,33.54,0.1448925271088781
0.9999999999999992,33.748,33.748,0.1461529443056454
0.9999999999999998,33.892,33.892,0.147164511477361
0.9999999999999997,34.02,34.02,0.1480780157676484
1.0000000000000004,34.176,34.176,0.1492380282199758
1.0000000000000004,34.256,34.256,0.15006824706243413
0.9999999999999994,34.444,34.444,0.1512055493634455
0.9999999999999999,34.628,34.628,0.15244952094514946
1.0000000000000007,34.772,34.772,0.1532743545836223
0.9999999999999997,34.924,34.924,0.15422526506381584
1.0000000000000002,35.092,35.092,0.15552665499361598
0.9999999999999991,35.232,35.232,0.1566711802007726
0.9999999999999997,35.372,35.372,0.15759479761272832
1.0000000000000002,35.5,35.5,0.15857315638993172
0.9999999999999999,35.608,35.608,0.15945549241996568
1.0000000000000007,35.748,35.748,0.16066940209374173
1.0000000000000004,35.864,35.864,0.16157439438816937
1.0000000000000002,35.98,35.98,0.16242606308133914
0.9999999999999994,36.084,36.084,0.1632123678758234
0.9999999999999999,36.216,36.216,0.16434874888399564
1.0,36.268,36.268,0.16519315446345623
0.9999999999999998,36.412,36.412,0.16627937773843388
0.9999999999999993,36.596,36.596,0.16750977144569348
1.0000000000000007,36.708,36.708,0.16841132812707607
1.0000000000000004,36.784,36.784,0.16911534041699974
0.9999999999999999,36.92,36.92,0.1702839023846373
0.9999999999999998,37.072,37.072,0.17138730608542607
0.9999999999999999,37.208,37.208,0.1721900908418552
1.0000000000000002,37.384,37.384,0.17366653832738188
1.0000000000000004,37.56,37.56,0.1749008202417466
0.9999999999999993,37.696,37.696,0.1760687099550547
0.9999999999999999,37.784,37.784,0.17678802551513173
0.9999999999999997,37.94,37.94,0.1778008154197127
0.9999999999999996,38.056,38.056,0.1787965679310658
0.9999999999999996,38.124,38.124,0.17954487243227749
0.9999999999999997,38.172,38.172,0.1800120257497184
1.0000000000000002,38.244,38.244,0.18085473949994443
1.0000000000000004,38.26,38.26,0.18123700542284624
1.0000000000000007,38.304,38.304,0.1819174935109937
1.0000000000000004,38.372,38.372,0.18281330155259587
0.9999999999999997,38.46,38.46,0.18377203582141935
0.9999999999999997,38.58,38.58,0.18478041761555325
1.000000000000001,38.628,38.628,0.18551879289052914
0.9999999999999998,38.732,38.732,0.18643495133912347
0.9999999999999997,38.872,38.872,0.1875016332415856
0.9999999999999997,38.984,38.984,0.18871598645869045
1.0,39.084,39.084,0.18959866724456195
1.0000000000000004,39.16,39.16,0.19047561263140111
0.9999999999999993,39.196,39.196,0.19092825695683938
1.0000000000000004,39.284,39.284,0.19190547133076405
0.9999999999999998,39.36,39.36,0.19275837177823615
1.0,39.468,39.468,0.19393413137277962
0.9999999999999996,39.584,39.584,0.19507762977510212
1.0000000000000002,39.6,39.6,0.19548038581393662
1.0000000000000002,39.716,39.716,0.19659347405048969
1.0000000000000002,39.788,39.788,0.19741351506430008
1.0000000000000004,39.904,39.904,0.1983994753175276
1.0000000000000004,40.06,40.06,0.19980168382892713
0.9999999999999993,40.14,40.14,0.20054383677540763
1.0000000000000002,40.28,40.28,0.20178769997831922
