prob,mu,temp,social,Run,max IN degree,avg clustering coeff
0.005859375,0.50306640625,0.20654296875,0.1474609375,0,0,0.0
0.779296875,0.50306640625,0.20654296875,0.1474609375,1,59,0.2825650515545332
0.005859375,0.11634765625,0.20654296875,0.1474609375,2,0,0.0
0.005859375,0.50306640625,0.11591796874999999,0.1474609375,3,0,0.0
0.005859375,0.50306640625,0.20654296875,0.1787109375,4,0,0.0
0.779296875,0.11634765625,0.11591796874999999,0.1787109375,5,57,0.25541005487066126
0.505859375,0.99806640625,0.061542968749999996,0.3974609375,6,56,0.2430595048256599
0.279296875,0.99806640625,0.061542968749999996,0.3974609375,7,46,0.2336168335778799
0.505859375,0.61134765625,0.061542968749999996,0.3974609375,8,39,0.23710820705746263
0.505859375,0.99806640625,0.26091796875,0.3974609375,9,47,0.24238610207362826
0.505859375,0.99806640625,0.061542968749999996,0.4287109375,10,54,0.2418783745982092
0.279296875,0.61134765625,0.26091796875,0.4287109375,11,52,0.24316028048697313
0.755859375,0.25556640625,0.27904296875,0.0224609375,12,54,0.29883933198854057
0.029296875,0.25556640625,0.27904296875,0.0224609375,13,31,0.2964797223682408
0.755859375,0.85884765625,0.27904296875,0.0224609375,14,55,0.32484349177781036
0.755859375,0.25556640625,0.04341796875,0.0224609375,15,50,0.3153620943321718
0.755859375,0.25556640625,0.27904296875,0.3037109375,16,66,0.2631995098367532
0.029296875,0.85884765625,0.04341796875,0.3037109375,17,42,0.199468178812324
0.255859375,0.75056640625,0.13404296875,0.2724609375,18,42,0.23614466099386686
0.529296875,0.75056640625,0.13404296875,0.2724609375,19,60,0.2615146033929092
0.255859375,0.36384765625,0.13404296875,0.2724609375,20,44,0.2433646131476333
0.255859375,0.75056640625,0.18841796875,0.2724609375,21,54,0.25454357711372677
0.255859375,0.75056640625,0.13404296875,0.0537109375,22,34,0.2846463941640332
0.529296875,0.36384765625,0.18841796875,0.0537109375,23,43,0.2840253120799305
0.380859375,0.13181640625,0.02529296875,0.3349609375,24,45,0.2312704196552262
0.654296875,0.13181640625,0.02529296875,0.3349609375,25,51,0.23499135371795526
0.380859375,0.24009765625,0.02529296875,0.3349609375,26,41,0.243606589067799
0.380859375,0.13181640625,0.07966796874999998,0.3349609375,27,47,0.23402922815231544
0.380859375,0.13181640625,0.02529296875,0.3662109375,28,48,0.2447431787483006
0.654296875,0.24009765625,0.07966796874999998,0.3662109375,29,60,0.2568438613046552
0.880859375,0.62681640625,0.17029296875,0.0849609375,30,65,0.2846518154975947
0.154296875,0.62681640625,0.17029296875,0.0849609375,31,42,0.27264527166040525
0.880859375,0.73509765625,0.17029296875,0.0849609375,32,66,0.2941419627943919
0.880859375,0.62681640625,0.22466796875,0.0849609375,33,63,0.29296762540843335
0.880859375,0.62681640625,0.17029296875,0.1162109375,34,66,0.2787442923081891
0.154296875,0.73509765625,0.22466796875,0.1162109375,35,49,0.2667028061162031
0.630859375,0.37931640625,0.09779296874999999,0.4599609375,36,49,0.2411226109148229
0.404296875,0.37931640625,0.09779296874999999,0.4599609375,37,40,0.2345944642361801
0.630859375,0.98259765625,0.09779296874999999,0.4599609375,38,47,0.23437036597610963
0.630859375,0.37931640625,0.15216796875,0.4599609375,39,51,0.23640885049044816
0.630859375,0.37931640625,0.09779296874999999,0.2412109375,40,60,0.24924312076938301
0.404296875,0.98259765625,0.15216796875,0.2412109375,41,52,0.2520050296346757
0.130859375,0.87431640625,0.24279296875,0.2099609375,42,44,0.26655065337856104
0.904296875,0.87431640625,0.24279296875,0.2099609375,43,68,0.25999286288072637
0.130859375,0.48759765625,0.24279296875,0.2099609375,44,49,0.25040510694260953
0.130859375,0.87431640625,0.29716796875,0.2099609375,45,48,0.25254908875660087
0.130859375,0.87431640625,0.24279296875,0.4912109375,46,40,0.23580991448542027
0.904296875,0.48759765625,0.29716796875,0.4912109375,47,65,0.25788104596371464
0.193359375,0.19369140625,0.11591796874999999,0.1162109375,48,41,0.26154687706172547
0.341796875,0.19369140625,0.11591796874999999,0.1162109375,49,50,0.28093956207501747
0.193359375,0.30197265625,0.11591796874999999,0.1162109375,50,53,0.2739390390704726
0.193359375,0.19369140625,0.061542968749999996,0.1162109375,51,51,0.2659528443748027
0.193359375,0.19369140625,0.11591796874999999,0.3349609375,52,51,0.24756355167990965
0.341796875,0.30197265625,0.061542968749999996,0.3349609375,53,37,0.24494330390226116
0.693359375,0.68869140625,0.26091796875,0.3662109375,54,58,0.24401803604830297
0.841796875,0.68869140625,0.26091796875,0.3662109375,55,63,0.24663909772331058
0.693359375,0.79697265625,0.26091796875,0.3662109375,56,61,0.25626027747721
0.693359375,0.68869140625,0.20654296875,0.3662109375,57,61,0.25389508099175856
0.693359375,0.68869140625,0.26091796875,0.0849609375,58,49,0.28338642211108894
0.841796875,0.79697265625,0.20654296875,0.0849609375,59,64,0.28273534404703
0.943359375,0.44119140625000003,0.04341796875,0.2412109375,60,65,0.2516773758190212
0.591796875,0.44119140625000003,0.04341796875,0.2412109375,61,61,0.269397710234603
0.943359375,0.54947265625,0.04341796875,0.2412109375,62,67,0.268079408251299
